bus,ac_component,response_zone_id,component_zone_count,component_silhouette,feature_norm,active_mode_count,clustering_basis
1871,3,C003-Z001,2,0.9199313160476971,0.008132390420202243,8,centered_event_weighted_directional_ptdf
1881,3,C003-Z001,2,0.9199313160476971,0.004914994062174496,8,centered_event_weighted_directional_ptdf
1901,3,C003-Z001,2,0.9199313160476971,0.0077814002044289425,8,centered_event_weighted_directional_ptdf
1911,3,C003-Z001,2,0.9199313160476971,0.008776526698379647,8,centered_event_weighted_directional_ptdf
1921,3,C003-Z001,2,0.9199313160476971,0.0056758402781456755,8,centered_event_weighted_directional_ptdf
1931,3,C003-Z001,2,0.9199313160476971,0.07226663245496659,8,centered_event_weighted_directional_ptdf
1941,3,C003-Z001,2,0.9199313160476971,0.006277850678659539,8,centered_event_weighted_directional_ptdf
1951,3,C003-Z001,2,0.9199313160476971,0.024813894753535865,8,centered_event_weighted_directional_ptdf
1961,3,C003-Z001,2,0.9199313160476971,0.005672642467470404,8,centered_event_weighted_directional_ptdf
1971,3,C003-Z001,2,0.9199313160476971,0.005747041095600845,8,centered_event_weighted_directional_ptdf
1981,3,C003-Z001,2,0.9199313160476971,0.04881951512122366,8,centered_event_weighted_directional_ptdf
1991,3,C003-Z001,2,0.9199313160476971,0.007900689328427777,8,centered_event_weighted_directional_ptdf
2001,3,C003-Z001,2,0.9199313160476971,0.006712528011864748,8,centered_event_weighted_directional_ptdf
2002,3,C003-Z001,2,0.9199313160476971,0.006957356754598857,8,centered_event_weighted_directional_ptdf
2011,3,C003-Z001,2,0.9199313160476971,0.004577791677746902,8,centered_event_weighted_directional_ptdf
2021,3,C003-Z001,2,0.9199313160476971,0.009231758544511045,8,centered_event_weighted_directional_ptdf
2041,3,C003-Z001,2,0.9199313160476971,0.008132390420204609,8,centered_event_weighted_directional_ptdf
2042,3,C003-Z001,2,0.9199313160476971,0.009873551525974012,8,centered_event_weighted_directional_ptdf
2052,3,C003-Z001,2,0.9199313160476971,0.00987364840656091,8,centered_event_weighted_directional_ptdf
2061,3,C003-Z001,2,0.9199313160476971,0.005671273171658442,8,centered_event_weighted_directional_ptdf
2072,3,C003-Z001,2,0.9199313160476971,0.009873551525973707,8,centered_event_weighted_directional_ptdf
2090,3,C003-Z001,2,0.9199313160476971,0.05460275209478915,8,centered_event_weighted_directional_ptdf
2091,3,C003-Z001,2,0.9199313160476971,0.2767116336882697,8,centered_event_weighted_directional_ptdf
2101,3,C003-Z001,2,0.9199313160476971,0.008292784860850066,8,centered_event_weighted_directional_ptdf
2111,3,C003-Z001,2,0.9199313160476971,0.05460275209478888,8,centered_event_weighted_directional_ptdf
2121,3,C003-Z001,2,0.9199313160476971,0.003183962572227375,8,centered_event_weighted_directional_ptdf
2131,3,C003-Z001,2,0.9199313160476971,0.005807062218063862,8,centered_event_weighted_directional_ptdf
2141,3,C003-Z001,2,0.9199313160476971,0.006282512680548133,8,centered_event_weighted_directional_ptdf
2151,3,C003-Z001,2,0.9199313160476971,0.00549446225828567,8,centered_event_weighted_directional_ptdf
2161,3,C003-Z001,2,0.9199313160476971,0.005435452141856651,8,centered_event_weighted_directional_ptdf
2171,3,C003-Z001,2,0.9199313160476971,0.27671163368828483,8,centered_event_weighted_directional_ptdf
2181,3,C003-Z001,2,0.9199313160476971,0.007468010813628047,8,centered_event_weighted_directional_ptdf
2191,3,C003-Z001,2,0.9199313160476971,0.007481005786951177,8,centered_event_weighted_directional_ptdf
2202,3,C003-Z001,2,0.9199313160476971,0.009250423564571411,8,centered_event_weighted_directional_ptdf
2204,3,C003-Z001,2,0.9199313160476971,0.00960969856653918,8,centered_event_weighted_directional_ptdf
2211,3,C003-Z001,2,0.9199313160476971,0.007597888313327928,8,centered_event_weighted_directional_ptdf
2212,3,C003-Z001,2,0.9199313160476971,0.009609698566548737,8,centered_event_weighted_directional_ptdf
2221,3,C003-Z001,2,0.9199313160476971,0.00567720805848786,8,centered_event_weighted_directional_ptdf
2225,3,C003-Z001,2,0.9199313160476971,0.00567720830219414,8,centered_event_weighted_directional_ptdf
2231,3,C003-Z001,2,0.9199313160476971,0.0026910426992913378,8,centered_event_weighted_directional_ptdf
2241,3,C003-Z001,2,0.9199313160476971,0.0026773897889149504,8,centered_event_weighted_directional_ptdf
2251,3,C003-Z001,2,0.9199313160476971,0.009870461521784273,8,centered_event_weighted_directional_ptdf
2261,3,C003-Z001,2,0.9199313160476971,0.0045777916777464496,8,centered_event_weighted_directional_ptdf
2271,3,C003-Z001,2,0.9199313160476971,0.003066875812641575,8,centered_event_weighted_directional_ptdf
2281,3,C003-Z001,2,0.9199313160476971,0.01966961587307357,8,centered_event_weighted_directional_ptdf
2301,3,C003-Z001,2,0.9199313160476971,0.004980630848704817,8,centered_event_weighted_directional_ptdf
2312,3,C003-Z001,2,0.9199313160476971,0.008091320488627882,8,centered_event_weighted_directional_ptdf
2321,3,C003-Z001,2,0.9199313160476971,0.3334750680773172,8,centered_event_weighted_directional_ptdf
2331,3,C003-Z001,2,0.9199313160476971,0.2767116336882698,8,centered_event_weighted_directional_ptdf
2341,3,C003-Z001,2,0.9199313160476971,0.003919927419848383,8,centered_event_weighted_directional_ptdf
2351,3,C003-Z001,2,0.9199313160476971,0.007888416444166435,8,centered_event_weighted_directional_ptdf
2361,3,C003-Z001,2,0.9199313160476971,0.002747474395176018,8,centered_event_weighted_directional_ptdf
2391,3,C003-Z001,2,0.9199313160476971,0.004202046574727829,8,centered_event_weighted_directional_ptdf
2401,3,C003-Z001,2,0.9199313160476971,0.005775236252599926,8,centered_event_weighted_directional_ptdf
2421,3,C003-Z001,2,0.9199313160476971,0.009224378693405142,8,centered_event_weighted_directional_ptdf
2441,3,C003-Z001,2,0.9199313160476971,0.007502733228957133,8,centered_event_weighted_directional_ptdf
2481,3,C003-Z001,2,0.9199313160476971,0.009031671790798057,8,centered_event_weighted_directional_ptdf
2491,3,C003-Z001,2,0.9199313160476971,0.009031671790845127,8,centered_event_weighted_directional_ptdf
2521,3,C003-Z001,2,0.9199313160476971,0.04309408679357522,8,centered_event_weighted_directional_ptdf
2522,3,C003-Z001,2,0.9199313160476971,0.029781499564498194,8,centered_event_weighted_directional_ptdf
2541,3,C003-Z001,2,0.9199313160476971,0.00924354671630196,8,centered_event_weighted_directional_ptdf
2551,3,C003-Z001,2,0.9199313160476971,0.009231758544409108,8,centered_event_weighted_directional_ptdf
2561,3,C003-Z001,2,0.9199313160476971,0.009870460084089289,8,centered_event_weighted_directional_ptdf
2562,3,C003-Z001,2,0.9199313160476971,0.009870834934492116,8,centered_event_weighted_directional_ptdf
2563,3,C003-Z001,2,0.9199313160476971,0.009870092720240595,8,centered_event_weighted_directional_ptdf
2571,3,C003-Z001,2,0.9199313160476971,0.009870461521777197,8,centered_event_weighted_directional_ptdf
2581,3,C003-Z001,2,0.9199313160476971,0.008132390420198607,8,centered_event_weighted_directional_ptdf
2591,3,C003-Z001,2,0.9199313160476971,0.009231758544511848,8,centered_event_weighted_directional_ptdf
2601,3,C003-Z001,2,0.9199313160476971,0.05665098533141784,8,centered_event_weighted_directional_ptdf
2641,3,C003-Z001,2,0.9199313160476971,0.0075978883133581395,8,centered_event_weighted_directional_ptdf
2651,3,C003-Z001,2,0.9199313160476971,0.00731934402497403,8,centered_event_weighted_directional_ptdf
2661,3,C003-Z001,2,0.9199313160476971,0.07729515130845752,8,centered_event_weighted_directional_ptdf
2671,3,C003-Z001,2,0.9199313160476971,0.07729515130845774,8,centered_event_weighted_directional_ptdf
2681,3,C003-Z001,2,0.9199313160476971,0.04309408679361439,8,centered_event_weighted_directional_ptdf
2691,3,C003-Z001,2,0.9199313160476971,0.007421958129315366,8,centered_event_weighted_directional_ptdf
2701,3,C003-Z001,2,0.9199313160476971,0.00987046152183664,8,centered_event_weighted_directional_ptdf
2712,3,C003-Z001,2,0.9199313160476971,0.005769938665140504,8,centered_event_weighted_directional_ptdf
2721,3,C003-Z001,2,0.9199313160476971,0.007977152350963477,8,centered_event_weighted_directional_ptdf
2731,3,C003-Z001,2,0.9199313160476971,0.005747041095601199,8,centered_event_weighted_directional_ptdf
2741,3,C003-Z001,2,0.9199313160476971,0.007170043201615347,8,centered_event_weighted_directional_ptdf
2742,3,C003-Z001,2,0.9199313160476971,0.007371532539622781,8,centered_event_weighted_directional_ptdf
2761,3,C003-Z001,2,0.9199313160476971,0.009870461521783792,8,centered_event_weighted_directional_ptdf
2771,3,C003-Z001,2,0.9199313160476971,0.005747041095563126,8,centered_event_weighted_directional_ptdf
2781,3,C003-Z001,2,0.9199313160476971,0.05460275209478764,8,centered_event_weighted_directional_ptdf
2791,3,C003-Z001,2,0.9199313160476971,0.007944730892847019,8,centered_event_weighted_directional_ptdf
2801,3,C003-Z001,2,0.9199313160476971,0.26145182010641055,8,centered_event_weighted_directional_ptdf
2821,3,C003-Z001,2,0.9199313160476971,0.04243492083954898,8,centered_event_weighted_directional_ptdf
2841,3,C003-Z001,2,0.9199313160476971,0.007252985584199057,8,centered_event_weighted_directional_ptdf
2842,3,C003-Z001,2,0.9199313160476971,0.011326580050129102,8,centered_event_weighted_directional_ptdf
2852,3,C003-Z001,2,0.9199313160476971,0.005720371316565669,8,centered_event_weighted_directional_ptdf
2861,3,C003-Z001,2,0.9199313160476971,0.009231758544469915,8,centered_event_weighted_directional_ptdf
2870,3,C003-Z001,2,0.9199313160476971,0.2613809085861037,8,centered_event_weighted_directional_ptdf
2871,3,C003-Z001,2,0.9199313160476971,0.2614518201063243,8,centered_event_weighted_directional_ptdf
2881,3,C003-Z001,2,0.9199313160476971,0.004914994062130062,8,centered_event_weighted_directional_ptdf
2892,3,C003-Z001,2,0.9199313160476971,0.005814390100298021,8,centered_event_weighted_directional_ptdf
2921,3,C003-Z001,2,0.9199313160476971,0.003508231252474588,8,centered_event_weighted_directional_ptdf
2931,3,C003-Z001,2,0.9199313160476971,0.006901603462625575,8,centered_event_weighted_directional_ptdf
2941,3,C003-Z001,2,0.9199313160476971,0.009243546716299015,8,centered_event_weighted_directional_ptdf
2951,3,C003-Z001,2,0.9199313160476971,0.009231758544406977,8,centered_event_weighted_directional_ptdf
2962,3,C003-Z001,2,0.9199313160476971,0.009871611097465878,8,centered_event_weighted_directional_ptdf
2972,3,C003-Z001,2,0.9199313160476971,0.009871611097465548,8,centered_event_weighted_directional_ptdf
3061,3,C003-Z001,2,0.9199313160476971,0.005664786951805359,8,centered_event_weighted_directional_ptdf
3081,3,C003-Z001,2,0.9199313160476971,0.009231758544392305,8,centered_event_weighted_directional_ptdf
3082,3,C003-Z001,2,0.9199313160476971,0.009231175642447825,8,centered_event_weighted_directional_ptdf
3091,3,C003-Z001,2,0.9199313160476971,0.009231758544465575,8,centered_event_weighted_directional_ptdf
3101,3,C003-Z001,2,0.9199313160476971,0.00287068907627505,8,centered_event_weighted_directional_ptdf
3111,3,C003-Z001,2,0.9199313160476971,0.0056711173572140785,8,centered_event_weighted_directional_ptdf
3122,3,C003-Z001,2,0.9199313160476971,0.0091795187266613,8,centered_event_weighted_directional_ptdf
3181,3,C003-Z001,2,0.9199313160476971,0.008442889752490437,8,centered_event_weighted_directional_ptdf
3190,3,C003-Z001,2,0.9199313160476971,0.005496090305404197,8,centered_event_weighted_directional_ptdf
3191,3,C003-Z001,2,0.9199313160476971,0.005807062218037039,8,centered_event_weighted_directional_ptdf
3192,3,C003-Z001,2,0.9199313160476971,0.005807062217987629,8,centered_event_weighted_directional_ptdf
3201,3,C003-Z001,2,0.9199313160476971,0.0056711173572138425,8,centered_event_weighted_directional_ptdf
3202,3,C003-Z001,2,0.9199313160476971,0.005731405300015885,8,centered_event_weighted_directional_ptdf
3203,3,C003-Z001,2,0.9199313160476971,0.0057328516371617086,8,centered_event_weighted_directional_ptdf
3204,3,C003-Z001,2,0.9199313160476971,0.005731405299993685,8,centered_event_weighted_directional_ptdf
3209,3,C003-Z001,2,0.9199313160476971,0.005671456922800881,8,centered_event_weighted_directional_ptdf
3221,3,C003-Z001,2,0.9199313160476971,0.005653254713992182,8,centered_event_weighted_directional_ptdf
3231,3,C003-Z001,2,0.9199313160476971,0.0092243786934047,8,centered_event_weighted_directional_ptdf
3241,3,C003-Z001,2,0.9199313160476971,0.007503020365723592,8,centered_event_weighted_directional_ptdf
3251,3,C003-Z001,2,0.9199313160476971,0.00551454329747179,8,centered_event_weighted_directional_ptdf
3261,3,C003-Z001,2,0.9199313160476971,0.00746274999954258,8,centered_event_weighted_directional_ptdf
3271,3,C003-Z001,2,0.9199313160476971,0.009224378693404756,8,centered_event_weighted_directional_ptdf
3281,3,C003-Z001,2,0.9199313160476971,0.004427968724077139,8,centered_event_weighted_directional_ptdf
3282,3,C003-Z001,2,0.9199313160476971,0.004890969473405173,8,centered_event_weighted_directional_ptdf
